,Unnamed: 0,Author,Description,ReviewRating,Country,Review_Date,AirCraft,Seat_Type,Route,Date_flown,Type_of_traveller,Seat_Comfort,Cabin_staff_service,Ground_Service,Value_For_Money,Recommended,Food_And_Bevarages,Inflight_Entertainment,Wifi_and_Connectivity
1179,1179,"['', '8 reviews', '', '', '', 'Attila Toth']","""finally a nice flight""",8,United Kingdom,6th September 2018,Airbus A32,Economy Class,London Heathrow to Budapest,August 2018,Solo Leisure,5.0,5.0,4.0,4,yes,,,
1180,1180,"['', '8 reviews', '', '', '', 'Attila Toth']","""crew make the journey smooth""",7,United Kingdom,5th September 2018,A320,Economy Class,Budapest to London Heathrow,September 2018,Solo Leisure,4.0,4.0,5.0,4,yes,,,
1181,1181,"['', 'Harry Aronowicz']","""Outstanding crew""",10,Canada,3rd September 2018,A319 / Boeing 787-9,Business Class,Pisa to Toronto via London,September 2018,Family Leisure,4.0,5.0,5.0,5,yes,5.0,4.0,
1182,1182,"['', 'C Leane']","""never provide any assistance""",1,United Kingdom,30th August 2018,,Business Class,Madrid to Heathrow,August 2018,Business,1.0,1.0,2.0,2,no,2.0,,
1183,1183,"['', 'W Tan']","""legroom seemed very small""",1,Singapore,29th August 2018,,Economy Class,Singapore to London,August 2018,Solo Leisure,1.0,1.0,2.0,1,no,3.0,3.0,
1184,1184,"['', 'H Fanzen']","""IFE was the size of my wallet""",4,Germany,29th August 2018,Boeing 747-400 / A319,Economy Class,Washington to Frankfurt via London,August 2018,Solo Leisure,3.0,3.0,4.0,2,no,2.0,1.0,
1185,1185,"['', 'J Kumar']","""on the next flight tomorrow""",5,United States,28th August 2018,,Economy Class,Rome to London,August 2018,Family Leisure,3.0,3.0,3.0,2,no,,,
1186,1186,"['', 'J Cooper']","""the food is really poor""",7,United Kingdom,23rd August 2018,A380,Economy Class,London Heathrow to Hong Kong,August 2018,Solo Leisure,5.0,5.0,4.0,3,yes,3.0,5.0,
1187,1187,"['', 'Jennifer Cousins']","""Really good crew""",10,United Kingdom,21st August 2018,A318,Economy Class,London Heathrow to Düsseldorf,August 2018,Solo Leisure,5.0,4.0,5.0,4,yes,,,
1188,1188,"['', 'S Andrews']","""the quality becomes worse""",3,United Kingdom,21st August 2018,A320,Business Class,London to Athens,August 2018,Couple Leisure,1.0,3.0,2.0,3,no,2.0,1.0,1.0
1189,1189,"['', '6 reviews', '', '', '', 'Matthew Haycock']","""thoroughly recommend it""",10,United Kingdom,21st August 2018,A380,First Class,London Heathrow to Singapore,July 2018,Family Leisure,5.0,5.0,5.0,5,yes,5.0,4.0,
1190,1190,"['', 'M Weale']","""no foil covering the food""",3,United States,20th August 2018,Boeing 787,Premium Economy,Philadelphia to London,August 2018,Couple Leisure,3.0,1.0,4.0,3,no,1.0,3.0,
1191,1191,"['', 'G Barold']","""choose another airline""",1,United States,18th August 2018,Boeing 747-400,Economy Class,London to Las Vegas,July 2018,Family Leisure,1.0,1.0,1.0,1,no,1.0,1.0,
1192,1192,"['', 'K Darinic']","""asked if I would like any food""",5,United Kingdom,17th August 2018,,Business Class,Zagreb to London,August 2018,Business,2.0,2.0,2.0,2,no,1.0,,
1193,1193,"['', 'M Daleto']","""totally disappointed""",1,Switzerland,16th August 2018,A380,Business Class,Los Angeles to Milan via London,August 2018,Family Leisure,4.0,3.0,1.0,1,no,3.0,3.0,
1194,1194,"['', 'Mike Palmer']","""improved on board experience""",8,Canada,15th August 2018,Boeing 777,Premium Economy,Toronto to London,August 2018,Solo Leisure,3.0,5.0,4.0,3,yes,2.0,2.0,
1195,1195,"['', '15 reviews', '', '', '', 'Richard Hodges']","""Really very good FA's""",7,United Kingdom,15th August 2018,A380,Business Class,San Francisco to London Heathrow,July 2018,Couple Leisure,4.0,5.0,4.0,4,no,4.0,1.0,
1196,1196,"['', 'C Barton']","""this time they were superb""",10,United Kingdom,14th August 2018,,Economy Class,London to Dublin,August 2018,Solo Leisure,5.0,5.0,4.0,3,yes,2.0,,
1197,1197,"['', '3 reviews', '', '', '', 'E Landen']","""the seats feel worn out""",7,United Kingdom,13th August 2018,A321,Economy Class,London to Paris,January 2018,Couple Leisure,3.0,5.0,4.0,3,yes,5.0,,
1198,1198,"['', '3 reviews', '', '', '', 'E Landen']","""outstanding customer service""",7,United Kingdom,13th August 2018,A320,Economy Class,Amsterdam to London,June 2018,Couple Leisure,3.0,5.0,4.0,4,yes,4.0,,
1199,1199,"['', '1 reviews', '', '', '', 'L Shearen']",""" a very acceptable flight""",7,United Kingdom,12th August 2018,Boeing 777,First Class,New York JFK to London,August 2018,Solo Leisure,4.0,5.0,5.0,4,no,3.0,,
1200,1200,"['', 'K Lorney']","""pathetic compensation""",1,United Kingdom,11th August 2018,,Economy Class,Amman to London,April 2018,Couple Leisure,2.0,1.0,1.0,1,no,1.0,1.0,
1201,1201,"['', '44 reviews', '', '', '', 'R Neale']","""let down by the ground services""",5,United Kingdom,9th August 2018,A320,Business Class,Paphos to Gatwick,July 2018,Couple Leisure,3.0,5.0,1.0,3,no,3.0,,
1202,1202,"['', '44 reviews', '', '', '', 'R Neale']","""Very happy with the service""",8,United Kingdom,9th August 2018,A320,Business Class,Gatwick to Paphos,July 2018,Couple Leisure,3.0,5.0,4.0,4,yes,4.0,,
1203,1203,"['', 'E Marston']","""charges to select Business Class seats""",4,United States,7th August 2018,Boeing 747-400,Business Class,New York to Nairobi via London,July 2018,Family Leisure,2.0,5.0,2.0,2,no,2.0,2.0,
1204,1204,"['', 'Matt Beks']","""need to improve service levels""",1,United Kingdom,6th August 2018,,Economy Class,Istanbul to London Heathrow,July 2018,Business,1.0,1.0,1.0,1,no,,1.0,
1205,1205,"['', 'R Benson']","""my flight was cancelled""",1,United Kingdom,3rd August 2018,,Economy Class,Heathrow to Milan,July 2018,Family Leisure,3.0,2.0,1.0,1,no,,,
1206,1206,"['', '2 reviews', '', '', '', 'E Tellon']","""a good experience with BA""",8,Germany,31st July 2018,Boeing 787-9,Premium Economy,London to Santiago de Chile,July 2018,Business,4.0,5.0,4.0,5,yes,4.0,4.0,
1207,1207,"['', '15 reviews', '', '', '', 'Richard Hodges']","""pay again to pre-reserve seats""",8,United Kingdom,30th July 2018,Boeing 777,Business Class,London Heathrow to Seattle Tacoma,July 2018,Couple Leisure,4.0,4.0,4.0,4,no,4.0,2.0,
1208,1208,"['', 'B Robinson']","""overall, it’s a good option""",7,United Kingdom,30th July 2018,A320-200,Economy Class,London Gatwick to Tirana Rinas,July 2018,Family Leisure,4.0,4.0,5.0,3,yes,3.0,,
1209,1209,"['', 'J Blanchard']","""the flights were excellent""",8,China,29th July 2018,A320,Economy Class,London to Murcia ,July 2018,Couple Leisure,5.0,5.0,3.0,5,yes,5.0,,
1210,1210,"['', 'G Meales']","""gone notably downhill""",1,United Kingdom,28th July 2018,A321,Business Class,London to Amsterdam,July 2018,Solo Leisure,3.0,4.0,1.0,1,no,3.0,,
1211,1211,"['', 'T Meares']","""Couldn't care less I feel""",3,United Kingdom,27th July 2018,Boeing 777,Economy Class,Aberdeen to Abu Dhabi via London,July 2018,Family Leisure,3.0,1.0,1.0,3,no,1.0,4.0,
1212,1212,"['', '1 reviews', '', '', '', 'Jakub Dostal']","""staff was kind and helpful""",4,Czech Republic,26th July 2018,A320 / Boeing 747-400,Economy Class,Prague to Denver via London,June 2018,Solo Leisure,3.0,5.0,1.0,2,no,5.0,3.0,
1213,1213,"['', 'A Ahmed']","""buy-on-board a bug-bear""",3,United Kingdom,26th July 2018,A319,Economy Class,Seville to Gatwick,July 2018,Couple Leisure,2.0,1.0,1.0,3,no,1.0,,
1214,1214,"['', 'S Teen']","""A delayed BA flight""",3,Netherlands,23rd July 2018,,Economy Class,London to Amsterdam,July 2018,Solo Leisure,1.0,1.0,1.0,1,no,,,
1215,1215,"['', 'P Kim']","""On arrival no bags""",1,South Korea,23rd July 2018,,Business Class,Gatwick to Barcelona ,July 2018,Couple Leisure,1.0,3.0,4.0,1,no,1.0,,
1216,1216,"['', 'Roger Stone']","""an enjoyable experience""",8,Australia,23rd July 2018,Boeing 777 / A380,Premium Economy,HKG to LHR,June 2018,Business,4.0,5.0,5.0,4,yes,4.0,5.0,3.0
1217,1217,"['', '11 reviews', '', '', '', 'C Down']","""food and drink was pretty good""",7,United Kingdom,22nd July 2018,A320,Business Class,Faro to Gatwick,July 2018,Solo Leisure,3.0,2.0,3.0,4,yes,4.0,,
1218,1218,"['', '11 reviews', '', '', '', 'C Down']","""a decent enough flight""",7,United Kingdom,22nd July 2018,A320,Business Class,Gatwick to Faro,July 2018,Solo Leisure,3.0,4.0,5.0,4,yes,3.0,,
1219,1219,"['', 'Mohammed Aljefri']","""crew were helpful and generous""",6,United States,22nd July 2018,Boeing 787-9 / A380-800,First Class,Jeddah to Chicago via London,May 2018,Solo Leisure,4.0,5.0,1.0,5,no,4.0,5.0,4.0
1220,1220,"['', 'P Kuran']","""lounges in Heathrow are overcrowded""",1,United Kingdom,20th July 2018,,Business Class,London to Frankfurt,July 2018,Business,1.0,1.0,1.0,1,no,1.0,,
1221,1221,"['', 'Siobhean Gribbin']","""was nicely impressed""",9,Spain,19th July 2018,A321,Business Class,Gatwick to Malaga,July 2018,Solo Leisure,4.0,5.0,3.0,5,yes,5.0,,
1222,1222,"['', '25 reviews', '', '', '', 'Mark Ellwood']","""pole vault over passenger's legs""",7,United Kingdom,19th July 2018,Boeing 777-200,Business Class,Bermuda to Gatwick,May 2018,Couple Leisure,4.0,3.0,4.0,2,yes,1.0,4.0,
1223,1223,"['', ""Mike O'Donovan""]","""seats weren't wide enough""",6,United Kingdom,19th July 2018,,Economy Class,Aberdeen to Boston via London,July 2018,Business,2.0,4.0,4.0,3,yes,4.0,5.0,4.0
1224,1224,"['', '10 reviews', '', '', '', 'G Heales']","""Seat was quite comfortable""",8,Australia,18th July 2018,A319,Economy Class,London to Hamburg,June 2018,Solo Leisure,4.0,3.0,5.0,3,yes,,,
1225,1225,"['', 'John Ellis']","""Better service with Ryanair""",2,Hong Kong,18th July 2018,,Premium Economy,London Heathrow to Hong Kong,July 2018,Family Leisure,3.0,3.0,1.0,2,no,2.0,3.0,2.0
1226,1226,"['', 'Colin Lewis']","""gate staff should be better trained""",2,United Kingdom,17th July 2018,,Economy Class,London to Istanbul,June 2018,Couple Leisure,3.0,3.0,1.0,2,no,1.0,1.0,
1227,1227,"['', 'S Norton']","""crew welcoming and orderly""
",7,United Kingdom,15th July 2018,A320,Economy Class,Munich to London Heathrow,July 2018,Solo Leisure,4.0,4.0,5.0,3,yes,2.0,,
1228,1228,"['', 'R Johnson']","""Wonderful service""",10,United Kingdom,15th July 2018,,Business Class,Edinburgh-Florence ,July 2018,Couple Leisure,4.0,5.0,5.0,5,yes,5.0,,
1229,1229,"['', 'J Reid']","""would rather walk to Manchester""",1,United Kingdom,15th July 2018,,Economy Class,London Heathrow to Manchester,July 2018,Solo Leisure,1.0,1.0,1.0,1,no,1.0,1.0,1.0
1230,1230,"['', 'S Peel']","""not sitting together""",2,United Kingdom,13th July 2018,,Economy Class,London to Madrid,July 2018,Couple Leisure,1.0,,1.0,1,no,,,
1231,1231,"['', 'Barrie Lancaster']","""not provided any explanation""",3,China,12th July 2018,Boeing 777,Business Class,London to Shanghai,June 2018,Business,1.0,5.0,2.0,3,no,4.0,2.0,
1232,1232,"['', 'A Jaleni']","""seats were uncomfortable""",2,United Kingdom,10th July 2018,Boeing 777,Economy Class,London to Tehran,August 2017,Family Leisure,1.0,1.0,4.0,1,no,1.0,,
1233,1233,"['', 'C Leare']","""it's not extra leg room""",1,United Kingdom,10th July 2018,A321,Economy Class,Pisa to London Heathrow,July 2018,Couple Leisure,1.0,3.0,3.0,2,no,,,
1234,1234,"['', 'K Farmer']","""had upgraded people in first""",5,United Kingdom,10th July 2018,Boeing 747,First Class,London Heathrow to Las Vegas,June 2018,Business,3.0,2.0,3.0,1,no,2.0,2.0,2.0
1235,1235,"['', 'H Reyes']","""first and last experience""",1,Ireland,9th July 2018,Boeing 747,Economy Class,Dublin to Miami via London,June 2018,Couple Leisure,1.0,1.0,1.0,1,no,1.0,,
1236,1236,"['', 'Mark Howes']","""charged £65 to bring my bike back""",1,United Kingdom,9th July 2018,,Economy Class,Johannesburg to Heathrow,June 2018,Family Leisure,1.0,4.0,1.0,1,no,1.0,4.0,
1237,1237,"['', 'L Wang']","""queue for bag drop was massive""",1,United Kingdom,8th July 2018,,Economy Class,Toronto to London,July 2018,Couple Leisure,1.0,1.0,1.0,1,no,1.0,3.0,
1238,1238,"['', 'David Moss']","""they did not care""",1,United Kingdom,5th July 2018,,Business Class,Rome to Gatwick,August 2017,Couple Leisure,1.0,1.0,1.0,1,no,1.0,,
1239,1239,"['', 'Kirsten Durward']","""always had a great experience""",8,United Kingdom,29th June 2018,,Premium Economy,Mumbai to Edinburgh via London,June 2018,Solo Leisure,5.0,5.0,5.0,5,yes,3.0,4.0,
1240,1240,"['', 'C Veare']","""Disappointing experience""",6,India,28th June 2018,,Business Class,Mumbai to London Heathrow,June 2018,Solo Leisure,2.0,3.0,3.0,1,no,3.0,4.0,
1241,1241,"['', 'Ian Graham']","""satisfied with all aspects""",7,Netherlands,27th June 2018,Boeing 747 / 777,Premium Economy,Delhi to London,June 2018,Solo Leisure,4.0,4.0,4.0,4,yes,4.0,4.0,
1242,1242,"['', 'W James']","""seat was below my expectation""",4,United Kingdom,25th June 2018,Boeing 787(9),Business Class,Seychelles to London,June 2018,Couple Leisure,2.0,3.0,1.0,1,no,3.0,3.0,
1243,1243,"['', 'S Verden']","""return flight was faultless""",10,United Kingdom,25th June 2018,A320,Business Class,Gatwick to Gibraltar,June 2018,Couple Leisure,5.0,5.0,4.0,4,yes,5.0,,
1244,1244,"['', 'Nigel Johnson']","""not worth the name anymore""",3,Canada,25th June 2018,A380,First Class,London to Vancouver,June 2018,Business,2.0,4.0,2.0,4,no,2.0,2.0,
1245,1245,"['', 'Alessandra Negroni']","""did not take responsibility""",1,Italy,25th June 2018,,Economy Class,Milan to London,June 2018,Business,,,,1,no,,,
1246,1246,"['', 'James Mchugh']","""Horrible, horrible service""",1,United States,23rd June 2018,Boeing 747,Economy Class,New York JFK to Rome via London Heathrow,June 2018,Family Leisure,3.0,5.0,1.0,1,no,5.0,5.0,5.0
1247,1247,"['', 'William Steward']","""experience has deteriorated significantly""",3,United Kingdom,22nd June 2018,Boeing 777,Business Class,Newark to London Heathrow,June 2018,Business,3.0,1.0,4.0,2,no,1.0,3.0,3.0
1248,1248,"['', '1 reviews', '', '', '', 'B Pearce']","""worlds away from what it used to be""
",10,United Kingdom,22nd June 2018,Boeing 747 and Boeing 777,Business Class,London Heathrow to Seattle,June 2018,Couple Leisure,4.0,5.0,5.0,3,yes,5.0,4.0,
1249,1249,"['', 'C Poole']","""last choice in future""",4,United Kingdom,21st June 2018,Boeing 747,Economy Class,London to Johannesburg,April 2018,Solo Leisure,1.0,1.0,4.0,2,no,1.0,1.0,1.0
1250,1250,"['', 'Robert Dixon-Gough']","""unexpected problem with the systems""",2,United Kingdom,20th June 2018,Boeing 787,Premium Economy,Calgary to London,June 2018,Couple Leisure,1.0,1.0,2.0,2,no,1.0,2.0,1.0
1251,1251,"['', 'Colin Voide']","""The airline isn’t bad""",4,Switzerland,20th June 2018,Boeing 767,Economy Class,London to Zurich,June 2018,Business,3.0,2.0,4.0,4,no,1.0,1.0,1.0
1252,1252,"['', '2 reviews', '', '', '', 'T Watts']","""charge a large amount for choosing seats""",7,United Kingdom,20th June 2018,Boeing 747,Economy Class,Glasgow to New York via London,June 2018,Couple Leisure,2.0,4.0,3.0,3,no,4.0,3.0,
1253,1253,"['', 'P Ritter']","""aircraft lacked the legroom""",5,United Kingdom,20th June 2018,Boeing 787,Economy Class,London Heathrow to Baltimore,June 2018,Solo Leisure,2.0,3.0,4.0,4,yes,3.0,4.0,
1254,1254,"['', 'G Leane']","""an additional €476 for seat selection""",1,Ireland,19th June 2018,A380 and 747,Business Class,London to Johannesburg,February 2018,Couple Leisure,2.0,3.0,3.0,1,no,3.0,,
1255,1255,"['', '1 reviews', '', '', '', 'Marsha Sheldon']","""no one to solve problems""",1,United States,13th June 2018,,Premium Economy,Los Angeles to London,May 2018,Couple Leisure,1.0,2.0,1.0,1,no,1.0,3.0,3.0
1256,1256,"['', 'Josh Vine']","""everything was comfy enough""",3,United Kingdom,13th June 2018,,Economy Class,Tampa to London,May 2018,Couple Leisure,2.0,1.0,3.0,1,no,1.0,,
1257,1257,"['', '31 reviews', '', '', '', 'David Ellis']","""FAs went through the motions""",4,United Kingdom,12th June 2018,Boeing 747-400,Business Class,Cape Town to London Heathrow,June 2018,Couple Leisure,2.0,3.0,3.0,3,no,2.0,2.0,
1258,1258,"['', 'J Meares']","""screen with so few pixels""",2,United Kingdom,10th June 2018,,Economy Class,Gatwick to San Jose ,June 2018,Solo Leisure,3.0,,3.0,2,no,,,
1259,1259,"['', 'Mike Palmer']","""there was little to dislike""",8,Canada,9th June 2018,Boeing 777-200 ER,Premium Economy,Toronto to London,June 2018,Solo Leisure,3.0,5.0,5.0,4,yes,4.0,3.0,
1260,1260,"['', 'Carlo Caroli']","""very good service indeed""",10,United States,8th June 2018,Boeing 747-400,Economy Class,London to Chicago,April 2018,Couple Leisure,5.0,5.0,4.0,5,yes,4.0,4.0,
1261,1261,"['', 'Chantal Mamboury']","""flights to Vancouver abysmal""",3,Switzerland,8th June 2018,,First Class,Geneva to Vancouver via London,March 2018,Business,4.0,1.0,5.0,1,no,2.0,3.0,
1262,1262,"['', 'D Kemble']","""very pleasantly surprised""",8,United Kingdom,7th June 2018,A320,Business Class,London Heathrow to Corfu ,May 2018,Couple Leisure,4.0,5.0,4.0,5,yes,5.0,,
1263,1263,"['', 'Leslie Mardell']","""budget airlines can do better""",3,United Kingdom,6th June 2018,A320,Economy Class,Barcelona to Gatwick,June 2018,Couple Leisure,3.0,1.0,3.0,2,no,1.0,,
1264,1264,"['', 'W Gale']","""little value for money""",2,United Kingdom,5th June 2018,,Business Class,Hong Kong to London,June 2018,Business,1.0,1.0,3.0,1,no,2.0,1.0,
1265,1265,"['', '4 reviews', '', '', '', 'Vincent Borlaug']","""above-and-beyond service""",10,United States,5th June 2018,Boeing 747 / A320,Business Class,Washington to Bucharest via London,May 2018,Solo Leisure,5.0,5.0,5.0,5,yes,4.0,,
1266,1266,"['', '2 reviews', '', '', '', 'I Chawtekul']","""expensive low cost airline""",3,United Kingdom,3rd June 2018,A320,Economy Class,London to Warsaw,May 2018,Solo Leisure,2.0,2.0,3.0,3,no,,,
1267,1267,"['', 'V Caulsen']","""nearly three hours late"" ",1,United Kingdom,2nd June 2018,A320,Economy Class,London to Istanbul,May 2018,Solo Leisure,3.0,5.0,2.0,1,no,1.0,,
1268,1268,"['', 'David Ellis']","""a hit-or-miss affair""",6,United Kingdom,2nd June 2018,Boeing 747-400,First Class,London to Cape Town,May 2018,Couple Leisure,4.0,2.0,4.0,3,yes,4.0,3.0,
1269,1269,"['', 'J Keapher']","""Avios program is nearly worthless""",4,United States,2nd June 2018,Boeing 747,First Class,Miami to Hamburg via London,May 2018,Solo Leisure,3.0,4.0,2.0,1,no,3.0,,
1270,1270,"['', 'C Kent']","""unhelpful and unprofessional""",2,Hong Kong,2nd June 2018,,Economy Class,Turin to London Gatwick,May 2018,Solo Leisure,2.0,3.0,1.0,1,no,1.0,,
1271,1271,"['', '28 reviews', '', '', '', 'Wolfgang Bernhart']","""There is not a hotline""",1,Germany,1st June 2018,,Economy Class,Frankfurt to London Cuty,May 2018,Business,,,,1,no,,,
1272,1272,"['', 'T Leane']","""7 hours later no luggage""",1,United Kingdom,31st May 2018,,Economy Class,London to Madrid,May 2018,Couple Leisure,2.0,1.0,1.0,1,no,,,1.0
1273,1273,"['', 'G Layton']","""such a poor quality product""",1,United Kingdom,31st May 2018,A380,Business Class,Los Angeles to London Heathrow,May 2018,Business,1.0,1.0,1.0,1,no,1.0,1.0,1.0
1274,1274,"['', '1 reviews', '', '', '', 'C Hearn']","""they understand my frustration""",2,United Kingdom,30th May 2018,A320,Economy Class,London Heathrow to Mahon,May 2018,Family Leisure,3.0,2.0,1.0,2,no,,,
1275,1275,"['', '2 reviews', '', '', '', 'N Collins']","""a lovely flight""",10,United Kingdom,30th May 2018,Boeing 777-200,First Class,Dubai to London Heathrow,May 2018,Business,5.0,5.0,5.0,5,yes,5.0,,
1276,1276,"['', '47 reviews', '', '', '', 'Kah Kay Au']","""a la carte dining option""",9,Singapore,30th May 2018,A380,Economy Class,London Heathrow to Singapore,May 2018,Solo Leisure,4.0,3.0,4.0,4,yes,4.0,3.0,
1277,1277,"['', 'Emily Serchen']","""did not keep us updated""",1,United States,29th May 2018,,Economy Class,Paris to Newark,May 2018,Couple Leisure,1.0,1.0,1.0,1,no,,,
1278,1278,"['', 'Nicholas Robinson']","""never fly with them again""",1,United Kingdom,28th May 2018,,Economy Class,Heraklion to Gatwick,May 2018,Couple Leisure,1.0,3.0,1.0,1,no,,,
1279,1279,"['', '1 reviews', '', '', '', 'S Weare']","""this experience was a disgrace""",2,United Kingdom,27th May 2018,Boeing 747 400,Premium Economy,Washington to London,May 2018,Couple Leisure,1.0,4.0,2.0,1,no,2.0,1.0,
1280,1280,"['', '26 reviews', '', '', '', 'Neil Jeram']","""IFE is a work of mystery""",4,Australia,26th May 2018,A380,Economy Class,Singapore to London,May 2018,Business,4.0,2.0,3.0,4,no,1.0,1.0,
1281,1281,"['', '26 reviews', '', '', '', 'Neil Jeram']","""years have not been kind""",4,Australia,25th May 2018,Boeing 777-200,Economy Class,Sydney to London via Singapore,May 2018,Business,4.0,3.0,4.0,4,no,1.0,1.0,
1282,1282,"['', 'Brian Walker']",British Airways customer review,10,United Kingdom,25th May 2018,,Business Class,Malaga to Gatwick,May 2018,Couple Leisure,4.0,4.0,4.0,4,yes,4.0,,
1283,1283,"['', '3 reviews', '', '', '', 'P Reade']","""75 minutes to get boarding card""",1,United Kingdom,23rd May 2018,,Economy Class,Barcelona to Gatwick,May 2018,Solo Leisure,1.0,1.0,1.0,2,no,,,
1284,1284,"['', '35 reviews', '', '', '', 'J Muller']","""generous hand luggage rules""",7,Germany,23rd May 2018,A321,Economy Class,Munich to London,May 2018,Business,3.0,5.0,3.0,3,no,1.0,,
1285,1285,"['', '47 reviews', '', '', '', 'Kah Kay Au']","""Cabin crew were efficient""",7,Singapore,18th May 2018,A320,Economy Class,London to Reykjavik ,May 2018,Solo Leisure,4.0,4.0,4.0,4,yes,2.0,,
1286,1286,"['', 'Neil McAndrew']","""very poor cabin service""",3,United Kingdom,17th May 2018,Boeing 747-400,Business Class,Cape Town to London,May 2018,Business,3.0,1.0,3.0,2,no,1.0,1.0,
1287,1287,"['', 'J Measen']","""almost a low fare airline""",5,United States,14th May 2018,Boeing 787 / A320,Economy Class,Washington to Prague via London,May 2018,Couple Leisure,1.0,3.0,2.0,3,no,3.0,4.0,
1288,1288,"['', 'H Blumenthal']","""shameful for BA management""",3,France,14th May 2018,Boeing 747,First Class,London to Washington,May 2018,Solo Leisure,3.0,2.0,4.0,1,no,2.0,1.0,
1289,1289,"['', 'G Roach']","""close call to make connections""",8,United States,14th May 2018,Boeing 747,Economy Class,Washington to Glasgow via London,May 2018,Solo Leisure,4.0,4.0,3.0,5,yes,3.0,3.0,
1290,1290,"['', 'A Hanusa']","""I had to buy a new return ticket""",1,Canada,11th May 2018,,Economy Class,London to Montreal,March 2018,Solo Leisure,3.0,2.0,1.0,1,no,1.0,2.0,
1291,1291,"['', '8 reviews', '', '', '', 'Jasper Rom']","""legroom was insufficient""",5,Netherlands,11th May 2018,Boeing 777-300ER / A320,Economy Class,Tokyo to Amsterdam via London,May 2018,Solo Leisure,2.0,2.0,4.0,3,no,1.0,1.0,
1292,1292,"['', 'A Palomo']","""service was quite prompt""",5,United Kingdom,11th May 2018,A320,Business Class,Vienna to London Heathrow,May 2018,Business,3.0,4.0,3.0,3,yes,2.0,,
1293,1293,"['', 'K Healy']","""pathetic cost cutting antics""",2,United Kingdom,11th May 2018,A320,Economy Class,London Heathrow to Vienna,May 2018,Solo Leisure,1.0,1.0,1.0,1,no,1.0,2.0,
1294,1294,"['', 'C Leare']","""had to pay for another flight""",1,United Kingdom,11th May 2018,,Economy Class,Glasgow to Heathrow,May 2018,Couple Leisure,1.0,1.0,1.0,1,no,,,
1295,1295,"['', 'S Dolan']","""the service pleasant enough""",7,France,11th May 2018,Boeing 747,Business Class,London to Phoenix ,May 2018,Business,4.0,3.0,4.0,4,yes,4.0,1.0,1.0
1296,1296,"['', 'S Hosen']","""full price to rebook""",1,United Kingdom,10th May 2018,,Economy Class,Glasgow to Heathrow,May 2018,Solo Leisure,1.0,1.0,1.0,1,no,,,
1297,1297,"['', 'Zoraya Ulloa']","""cabin crew friendly""",9,Belgium,9th May 2018,A319 / Boeing 777,Economy Class,Brussels to Shanghai via London,April 2018,Solo Leisure,5.0,5.0,2.0,5,yes,5.0,4.0,
1298,1298,"['', 'T Razim']","""I was pleasantly surprised""",8,United Kingdom,8th May 2018,A380,Economy Class,Chicago to London Heathrow,May 2018,Solo Leisure,4.0,4.0,4.0,3,yes,3.0,3.0,3.0
1299,1299,"['', 'Nicolas Simonis']","""once again disappointed""",5,Greece,7th May 2018,A320 / Boeing 787,Economy Class,Athens to Philadelphia via London,April 2018,Couple Leisure,4.0,4.0,4.0,3,no,2.0,4.0,4.0
1300,1300,"['', '44 reviews', '', '', '', 'John Rolfe']","""Club World cabin very cramped""",5,United Kingdom,3rd May 2018,Boeing 777,Business Class,Hong Kong to London,April 2018,Couple Leisure,2.0,5.0,4.0,4,no,3.0,3.0,
1301,1301,"['', 'B Stuart']","""experience was totally acceptable""",8,United States,3rd May 2018,A380,Business Class,Los Angeles to London Heathrow,April 2018,Solo Leisure,4.0,5.0,5.0,5,yes,4.0,5.0,
1302,1302,"['', '95 reviews', '', '', '', 'Michael Schade']","""Terminal 5 was a big mass""",3,Germany,2nd May 2018,A319 / Boeing 787-8,Premium Economy,Hamburg to Abu Dhabi via London ,May 2018,Solo Leisure,3.0,2.0,1.0,2,no,2.0,4.0,
1303,1303,"['', 'E Smyth']","""An average experience""",7,United Kingdom,30th April 2018,Boeing 787-8,Business Class,GIG to LHR,April 2018,Family Leisure,4.0,3.0,4.0,3,yes,3.0,4.0,3.0
1304,1304,"['', 'Helen Santry']","""no accessory pack of eye shades""",2,United Kingdom,29th April 2018,Boeing 747,Premium Economy,London Heathrow to Vancouver,April 2018,Solo Leisure,1.0,1.0,4.0,2,no,1.0,2.0,
1305,1305,"['', '17 reviews', '', '', '', 'Robert Watson']","""crew were excellent""",8,Spain,28th April 2018,Boeing 767,Business Class,Madrid to London,April 2018,Business,4.0,5.0,4.0,3,yes,4.0,,
1306,1306,"['', 'A Mareza']","""bags cannot be fastened together""",2,United Kingdom,26th April 2018,,Economy Class,Venice to Gatwick,February 2018,Solo Leisure,3.0,3.0,1.0,1,no,,,
1307,1307,"['', 'J Cole']","""It was all handled very poorly""",3,Ireland,26th April 2018,A380,Business Class,Singapore to Dublin via London,March 2018,Business,2.0,5.0,2.0,2,no,4.0,3.0,
1308,1308,"['', 'S Vincent']","""no real added value""",2,United Kingdom,26th April 2018,,Economy Class,London to Budapest,April 2018,Couple Leisure,3.0,3.0,2.0,1,no,1.0,1.0,1.0
1309,1309,"['', 'Daniel Lossos']","""bumped off flight""",1,United Kingdom,25th April 2018,,Economy Class,Florence to London Gatwick,April 2018,Business,,,,1,no,,,
1310,1310,"['', 'E Smyth']","""a solid performance""",8,United Kingdom,24th April 2018,Boeing 777-300,Business Class,London to Sao Paulo,April 2018,Family Leisure,4.0,4.0,5.0,4,yes,4.0,5.0,4.0
